"context,question,answer,answer_start"
"Alice works at Google.,Where does Alice work?,Google,12"
"John was born in 1985 and lives in New York.,Where does John live?,New York,34"
"The Eiffel Tower is located in Paris.,Where is the Eiffel Tower located?,Paris,31"
"Python is a popular programming language created by Guido van Rossum.,Who created Python?,Guido van Rossum,44"
"Marie Curie won two Nobel Prizes in her lifetime.,How many Nobel Prizes did Marie Curie win?,two,16"
"The Amazon Rainforest is the largest tropical rainforest in the world.,What is the largest tropical rainforest?,Amazon Rainforest,4"
"Isaac Newton developed the theory of gravity.,Who developed the theory of gravity?,Isaac Newton,0"
"The capital of Japan is Tokyo.,What is the capital of Japan?,Tokyo,23"
"Mount Everest is the highest mountain in the world.,What is the highest mountain?,Mount Everest,0"
"Elon Musk is the CEO of SpaceX.,Who is the CEO of SpaceX?,Elon Musk,0"
